NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04654377,Personalized Education and Pain Response in Chronic Pancreatitis,https://clinicaltrials.gov/study/NCT04654377,Not Yet Recruiting,"Chronic Pancreatitis|Pain Syndrome|Depression, Anxiety",OTHER: Personalised education,"Asian Institute of Gastroenterology, India",Not available,INTERVENTIONAL
NCT04654013,PROductivity Study of Presbyopia Elimination in Rural-dwellers III,https://clinicaltrials.gov/study/NCT04654013,Active Not Recruiting,Presbyopia,DEVICE: Spectacles,"Queen's University, Belfast","VisionSpring|Clearly|University of Michigan|Good Business Lab|Zhongshan Ophthalmic Center, Sun Yat-sen University",INTERVENTIONAL
NCT04653922,Evaluation of Safety and Efficacy of a Bioengineered Corneal Implant for Treatment of Keratoconus,https://clinicaltrials.gov/study/NCT04653922,Completed,Keratoconus,DEVICE: LinkCor Bioengineered Corneal Implant,LinkoCare Life Sciences AB,Not available,INTERVENTIONAL
NCT04653402,Determine the Efficacy of Closed Suction Drain After Hydrocelectomy. (END Trial),https://clinicaltrials.gov/study/NCT04653402,Completed,Hydrocele of Tunica Vaginalis,DEVICE: Hydrocelectomy surgery,"All India Institute of Medical Sciences, Bhubaneswar",Not available,INTERVENTIONAL
NCT04652804,Supporting Treatment Outcomes Among PWID,https://clinicaltrials.gov/study/NCT04652804,Completed,Hepatitis C|HIV Coinfection,BEHAVIORAL: Low intensity HCV treatment adherence support|BEHAVIORAL: Medium intensity HCV treatment adherence support|BEHAVIORAL: High intensity HCV treatment adherence support,Johns Hopkins University,YR Gaitonde Centre for AIDS Research and Education|National Institute of Allergy and Infectious Diseases (NIAID),INTERVENTIONAL
NCT04642755,Comorbidities and Coinfections in Latent TB,https://clinicaltrials.gov/study/NCT04642755,Recruiting,Latent Tuberculosis|Diabete Mellitus|Malnutrition|Helminth Infection,Not available,"Tuberculosis Research Centre, India",National Institutes of Health (NIH),OBSERVATIONAL
NCT04642469,Phase III Study to Determine Efficacy of Durvalumab in Stage II-III Non-small Cell Lung Cancer (NSCLC) After Curative Intent Therapy.,https://clinicaltrials.gov/study/NCT04642469,Completed,"Carcinoma, Non- Small Cell Lung",DRUG: Durvalumab|OTHER: Placebo,AstraZeneca,Not available,INTERVENTIONAL
NCT04641481,An Efficacy and Safety Clinical Trial of an Investigational COVID-19 Vaccine (BBV152) in Adult Volunteers,https://clinicaltrials.gov/study/NCT04641481,Unknown,Covid19|SARS-CoV Infection,BIOLOGICAL: BBV152|BIOLOGICAL: Placebo,Bharat Biotech International Limited,Indian Council of Medical Research|Iqvia Pty Ltd,INTERVENTIONAL
NCT04641195,Vitamin D and Zinc Supplementation for Improving Treatment Outcomes Among COVID-19 Patients in India,https://clinicaltrials.gov/study/NCT04641195,Completed,COVID-19,DIETARY_SUPPLEMENT: Vitamin D3 (cholecalciferol)|DIETARY_SUPPLEMENT: Zinc (zinc gluconate)|DIETARY_SUPPLEMENT: Zinc (zinc gluconate) & Vitamin D (cholecalciferol)|OTHER: Placebo,Harvard School of Public Health (HSPH),"Foundation for Medical Research|University Health Network, Toronto",INTERVENTIONAL
NCT04640233,Clinical Trial to Assess Safety and Immunogenicity of Gam-COVID-Vac Combined Vector Vaccine for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-Сov-2) Infection,https://clinicaltrials.gov/study/NCT04640233,Unknown,COVID-19 Prevention,BIOLOGICAL: Gam-COVID-Vac|OTHER: Placebo,Dr. Reddy's Laboratories Limited,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation|Russian Direct Investment Fund|CRO: JSS Medical Research India Pvt. Ltd.",INTERVENTIONAL
