NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07355296,"PODOMOUNT-Basket, a Study to Test Whether BI 764198 Helps Adults and Adolescents With Different Types of Kidney Disease",https://clinicaltrials.gov/study/NCT07355296,Not Yet Recruiting,Proteinuric Kidney Diseases,DRUG: BI 764198|DRUG: Placebo matching BI 764198,Boehringer Ingelheim,Not available,INTERVENTIONAL
NCT07354087,Impact of Molecular Pathological And Clinical Features for Adjuvant Treatment Selection in Endometrial Cancer: Asian Registry,https://clinicaltrials.gov/study/NCT07354087,Active Not Recruiting,Endometrial Cancer,Not available,Tata Memorial Hospital,Not available,OBSERVATIONAL
NCT07353606,Cofilin-2 (rs80358250) and Lactoferrin (rs1126478) Polymorphism and Protein Levels With Non Surgical Periodontal Therapy in Periodontitis Patients With and Without CHD,https://clinicaltrials.gov/study/NCT07353606,Active Not Recruiting,Periodontitis|Chronic Periodontitis (Disorder)|Coronary Heart Disease,PROCEDURE: Scaling and root planing,Meenakshi Ammal Dental College and Hospital,Not available,INTERVENTIONAL
NCT07352410,High-Purity Type I Collagen Augmentation in Meniscal Repair,https://clinicaltrials.gov/study/NCT07352410,Recruiting,Meniscus Tear|Knee Meniscus Injury|Meniscal Repair|Knee Arthroscopy (for Diagnostic or Therapy),DEVICE: High-Purity Type I Collagen,"Adichunchanagiri Institute of Medical Sciences, B G Nagara",Not available,INTERVENTIONAL
NCT07350967,Magnetic Compression Anastomosis Procedure for Partial Jejuno-ileal Diversion: Evaluating the Feasibility of a Novel Endoscopic Magnetic Metabolic Interventional Therapy,https://clinicaltrials.gov/study/NCT07350967,Recruiting,Diabetes Type 2|Bariatric Surgery,DEVICE: Magnetic Compression Anastomosis Procedure for Partial Jejuno-ileal Diversion,iIDEAS Group Holdings Limited,Not available,INTERVENTIONAL
NCT07343804,THE EFFECT OF ENDODONTIC TREATMENT ON CARDIOVASCULAR RISK BIOMARKERS IN PATIENTS WITH STABLE CORONARY ARTERY DISEASE,https://clinicaltrials.gov/study/NCT07343804,Recruiting,Cardiovascular Disease Risk Factor|Periapical Periodontitis,PROCEDURE: root canal treatment and intracanal medicament,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07342231,FAPi PET in Pancreatic Ductal Adenocarcinoma,https://clinicaltrials.gov/study/NCT07342231,Recruiting,Pancreatic Cancer|Adenocarcinoma Pancreas,DIAGNOSTIC_TEST: Ga-68 FAPi PET/CT,Tata Memorial Hospital,Not available,OBSERVATIONAL
NCT07338539,BIO-SHORT: Biologically Guided Short-Course Hypofractionated RT for Poor-Prognosis GBM,https://clinicaltrials.gov/study/NCT07338539,Recruiting,Glioma,RADIATION: Standard radiotherapy using hypofractionated RT|RADIATION: Experimental Arm Intervention,Tata Memorial Centre,Not available,INTERVENTIONAL
NCT07338526,Intensity Modulated PrOton Therapy in Pediatric BRain Tumors (IMPORT),https://clinicaltrials.gov/study/NCT07338526,Recruiting,"Brain Tumor, Pediatric",RADIATION: Intensity-modulated proton therapy (IMPT)|RADIATION: Photon-based intensity-modulated radiation therapy (IMRT).,Tata Memorial Centre,Not available,INTERVENTIONAL
NCT07337850,Prospective Evaluation of 68Ga-FAPI PET in Biliary Cancers,https://clinicaltrials.gov/study/NCT07337850,Recruiting,Gall Bladder Cancer|Intrahepatic Cholangiocarcinoma (Icc),DIAGNOSTIC_TEST: gallium-68-Fibroblast Activation Protein Inhibitor,Tata Memorial Centre,Not available,OBSERVATIONAL
NCT07335653,Evaluation of High-Purity Type I Collagen Biologic Wrap to Improve Function After Extensor Tendon Repair of the Hand,https://clinicaltrials.gov/study/NCT07335653,Recruiting,Injury of Extensor Tendon of Hand|Tendon Adhesions,DEVICE: High-Purity Type I Collagen (HPTC) Wrap|PROCEDURE: Standard Extensor Tendon Repair,"Adichunchanagiri Institute of Medical Sciences, B G Nagara",Mysore Medical College and Research Institute,INTERVENTIONAL
NCT07333248,Strengthening Community- to- Hospital Eye Care Pathways From Boko Eye Care Center in Rural Assam,https://clinicaltrials.gov/study/NCT07333248,Not Yet Recruiting,Cataract|Refractive Errors,OTHER: Experimental: Integrated Referral and Engagement Model,Seva Canada Society,Pragyaan Sustainable Health Outcomes Foundation|Sri Sankaradeva Nethralaya,INTERVENTIONAL
NCT07332676,Building Healthy Food Environment in Schools: Evaluating Co-created Interventions in Low Resource Settings. #BetterNutrition4Adolescent,https://clinicaltrials.gov/study/NCT07332676,Not Yet Recruiting,Overweight Adolescents|Underweight|Obese Adolescents,OTHER: Multicomponent school nutrition intervention|OTHER: Usual nutrition program,Norwegian University of Science and Technology,Institute for Implementation Science and Health|Public Health Foundation of India|University of Birmingham,INTERVENTIONAL
NCT07331337,Scapular Strengthening Exercises in Patients With Chronic Lateral Epicondylitis,https://clinicaltrials.gov/study/NCT07331337,Completed,Lateral Epicondylitis,OTHER: Scapular strengthening and conventional therapy|OTHER: Conventional Therapy,King Saud University,Not available,INTERVENTIONAL
NCT07328893,Effect of Single Dose Intravenous Magnesium Sulfate on Postoperative Analgesic Consumption in Patients Undergoing Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT07328893,Recruiting,Analgesia; Postoperative,DRUG: Magnesium Sulfate 30 mg/kg intravenous diluted in 100 ml Normal Saline.,Tata Main Hospital,Not available,INTERVENTIONAL
NCT07325032,Impact of Breathing and Yoga Poses on Kinesiophobia in Knee Osteoarthritis Patients,https://clinicaltrials.gov/study/NCT07325032,Completed,Kinesiophobia|Osteo Arthritis Knee,BEHAVIORAL: Deep Breathing exercise|BEHAVIORAL: Three typical yoga poses,Saveetha University,Not available,INTERVENTIONAL
NCT07322978,Incidence of Splanchnic Venous Thrombosis in Acute Pancreatitis and it's Correlation With Severity of Pancreatitis,https://clinicaltrials.gov/study/NCT07322978,Recruiting,Acute Pancreatitis,Not available,"Asian Institute of Gastroenterology, India",Not available,OBSERVATIONAL
NCT07322237,DICE Study- Diastolic Improvement With Carvedilol & Empagliflozin in Patients With Cirrhosis,https://clinicaltrials.gov/study/NCT07322237,Recruiting,Cirrhotic Cardiomyopathy|Empagliflozin|Cardiometabolic Risk Factors|Cirrhosis,DRUG: Empagliflozin + Carvedilol|DRUG: Carvedilol,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT07321886,"A Study of Eloralintide (LY3841136) in Participants With Obesity, or Overweight Without Type 2 Diabetes",https://clinicaltrials.gov/study/NCT07321886,Recruiting,Obesity|Overweight,DRUG: Eloralintide|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07316647,Using Conversational AI to Teach Growth Mindset Skills to Youths in India,https://clinicaltrials.gov/study/NCT07316647,Completed,Youth Mental Health|Anxiety|Depression,BEHAVIORAL: Growth mindset training using conversational AI,Harvard University,Not available,INTERVENTIONAL
NCT07310732,Clinical and Radiographic Assessment of Efficacy of Modified Minimally Invasive SurgicalTechnique (M-MIST) Alone and Combined With Enamel Matrix Proteins and Ox-derived Bone Graft in the Treatment of Single Bone Defects Between Teeth.,https://clinicaltrials.gov/study/NCT07310732,Completed,Periodontal Diseases|Periodontal Bone Loss,PROCEDURE: modified minimally invasive surgical technique|PROCEDURE: modified minimally invasive surgical technique plus emdogain|PROCEDURE: modified minimally invasive surgical technique plus emdogain and xenograft,Rungta College of Dental Sciences and Research,Not available,INTERVENTIONAL
NCT07310628,Comparison of Analgesic Efficacy of Intrathecal Levobupivacaine With and Without Oral Tizanidine in Lower Limb Surgeries: A Prospective Randomized Study,https://clinicaltrials.gov/study/NCT07310628,Completed,"Tizanididne|Levobupicaine|Lower Limb Surgery|Pain, Chronic",DRUG: Tizanidine,All India Institute of Medical Sciences,"All India Institute of Medical Sciences, Raebareli, UP",INTERVENTIONAL
NCT07308405,Evaluating Coronally Advanced Flap With Platelet-rich Fibrin Membrane and Chorion Membrane for Gingival Recession,https://clinicaltrials.gov/study/NCT07308405,Completed,Gingival Recession,"PROCEDURE: Coronally advanced flap (CAF) with platelet-rich fibrin (PRF)|PROCEDURE: A similar surgical procedure was followed for the recipient bed preparation similar to that for the PRF membrane. A chorion membrane (Tissue bank, Tata Memorial Hospital, Mumbai, Maharashtra, India) o","Institute of Dental Sciences, Bareilly, Uttar Pradesh, India",Not available,INTERVENTIONAL
NCT07307248,To Evaluate Early (2-Week) vs. Standard (4-Week) Metal Stent Removal Following Endoscopic Ultrasound Guided WON Drainage,https://clinicaltrials.gov/study/NCT07307248,Recruiting,Walled Off Necrosis,PROCEDURE: Standard LAMS Removal with Double-Pigtail Plastic Stent|PROCEDURE: Standard LAMS Removal without DPT,"Asian Institute of Gastroenterology, India",Not available,INTERVENTIONAL
NCT07306780,Procrastination in Seeking Dental Care,https://clinicaltrials.gov/study/NCT07306780,Enrolling By Invitation,Procrastination,OTHER: Irrational Procrastination Scale (IPS)|OTHER: Oral Health Self Efficacy Scale (OHSES),Postgraduate Institute of Dental Sciences Rohtak,Not available,OBSERVATIONAL
NCT07306533,Effect of Menstrual Phase on the Anesthetic Efficacy,https://clinicaltrials.gov/study/NCT07306533,Recruiting,Pulpitis - Irreversible,PROCEDURE: Inferior Alveolar Nerve Block,Jamia Millia Islamia,Not available,INTERVENTIONAL
NCT07304596,Responsiveness of Hindi Version of Oral Health Impact Profile for Periodontitis (OHIP-P-HIN),https://clinicaltrials.gov/study/NCT07304596,Recruiting,Periodontitis|Oral Health Quality of Life (OHQoL) Was Assessed,PROCEDURE: Non Surgical Periodontal Therapy,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07303491,Validation of Hindi Version Oral Health Impact Profile for Periodontitis,https://clinicaltrials.gov/study/NCT07303491,Recruiting,Periodontitis,OTHER: OHIP-P-HIN Questionnaire,Postgraduate Institute of Dental Sciences Rohtak,Not available,OBSERVATIONAL
NCT07302932,Metformin and Molecular Aging in Prediabetes,https://clinicaltrials.gov/study/NCT07302932,Completed,"Metformin, Prediabetes",DRUG: Metformin treatment|DRUG: Analyzed by qPCR for T/S ratio.,"Diabetes Foundation, India",Not available,INTERVENTIONAL
NCT07302438,Comparative Evaluation of Calcium Silicate-doped Treated Dentin Matrix and Mineral Trioxide Aggregate as Miniature Pulpotomy Biomaterials in Deep Carious Lesions,https://clinicaltrials.gov/study/NCT07302438,Not Yet Recruiting,Reversible Pulpitis|Deep Carious Lesions,PROCEDURE: Calcium Silicate doped treated dentin matrix for miniature pulpotomy (CaSi+hTDM MP).|PROCEDURE: Mineral Trioxide Aggregate (MTA) for Miniature Pulpotomy,All India Institute of Medical Sciences,Not available,INTERVENTIONAL
NCT07300124,Outcome of Direct Pulp Capping and Partial Pulpotomy in Reversible Pulpitis,https://clinicaltrials.gov/study/NCT07300124,Not Yet Recruiting,Reversible Pulpitis|Extremely Deep Caries,PROCEDURE: Partial Pulpotomy in Reversible Pulpitis|PROCEDURE: Direct pulp capping with MTA,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07299110,Effect of Whey Protein Versus Egg Albumen Protein Challenge on Blood Ammonia Level in Patients of Decompensated Ethanol Related Cirrhosis.,https://clinicaltrials.gov/study/NCT07299110,Recruiting,Decompensated Cirrhosis Ethanol Related,DIETARY_SUPPLEMENT: Whey Protein|DIETARY_SUPPLEMENT: Egg Albumen,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT07297888,COMPARISON OF EFFECTS OF GABAPENTIN AND CLONIDINE ON POST-OPERATIVE PAIN AND ANXIETY IN LUMBAR SPINAL SURGERY.,https://clinicaltrials.gov/study/NCT07297888,Completed,Pain,DRUG: Gabapentin,Shri Guru Ram Rai Institute of Medical and Health Sciences,Not available,INTERVENTIONAL
NCT07297069,Combination Therapy With Infliximab and Tofacitinib for Acute Severe Ulcerative Colitis - CINTO Trial,https://clinicaltrials.gov/study/NCT07297069,Not Yet Recruiting,Acute Severe Ulcerative Colitis,DRUG: Infliximab|DRUG: Tofacitinib,"Asian Institute of Gastroenterology, India",Not available,INTERVENTIONAL
NCT07296640,"BPIT 5-Line Pilot: Interventional Study on Strength, HRV & Injury Risk Reduction (n=23)",https://clinicaltrials.gov/study/NCT07296640,Completed,Healthy,BEHAVIORAL: BPIT 5-Line Training,MMSx Authority Institute for Movement Mechanics & Biomechanics Research Inc.,Not available,INTERVENTIONAL
NCT07291037,Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations,https://clinicaltrials.gov/study/NCT07291037,Recruiting,Non-small Cell Lung Cancer (NSCLC),DRUG: Datopotamab deruxtecan (Dato-DXd)|DRUG: Docetaxel,AstraZeneca,Daiichi Sankyo,INTERVENTIONAL
NCT07290972,Compliance to Cervical Cancer Chemoradiation Guidelines: A Multicentric Implementation Audit and Resource Assessment Initiative of National Cancer Grid of India,https://clinicaltrials.gov/study/NCT07290972,Recruiting,Cervical Cancer Screening|Gynecologic Cancers|Treatment Compliance|Chemoradiotherapy,OTHER: Not applicable- observational study,Tata Memorial Hospital,"Post Graduate Institute of Medical Education and Research, Chandigarh|MNJ Institute of Oncology and Regional Cancer Center|Christian Medical College, Vellore, India",OBSERVATIONAL
NCT07286643,Echocardiography-guided Cirrhosis and Liver Failure-Intensive Care Protocol Sepsis,https://clinicaltrials.gov/study/NCT07286643,Recruiting,"Cirrhosis, Liver|Cirrhotic Cardiomyopathy|Septic Shock",DIAGNOSTIC_TEST: POCUS|DIAGNOSTIC_TEST: Fixed Resuscitation Strategy based on Target MAP,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT07286175,A Study of Brenipatide in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1),https://clinicaltrials.gov/study/NCT07286175,Recruiting,Bipolar Disorder,DRUG: Brenipatide|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07285798,A Study of KarXT + KarX-EC for Treatment of Irritability in Children and Adolescents With Autism Spectrum Disorder,https://clinicaltrials.gov/study/NCT07285798,Not Yet Recruiting,Irritability Associated With Autism Spectrum Disorder,DRUG: KarXT|DRUG: KarX-EC|DRUG: KarXT + KarX-EC Matching Placebo,Bristol-Myers Squibb,Not available,INTERVENTIONAL
NCT07284745,A Study of KarXT + KarX-EC for Treatment of Irritability in Children and Adolescents With Autism,https://clinicaltrials.gov/study/NCT07284745,Not Yet Recruiting,Irritability Associated With Autism Spectrum Disorder,DRUG: KarXT|DRUG: KarX-EC|DRUG: KarXT + KarX-EC Matching Placebo,Bristol-Myers Squibb,Not available,INTERVENTIONAL
NCT07283185,Prospective Comparison of the Carbon Footprint of EUS vs MRCP for Evaluation of Suspected Choledocholithiasis,https://clinicaltrials.gov/study/NCT07283185,Recruiting,Choledocholithiasis,Not available,"Asian Institute of Gastroenterology, India",Not available,OBSERVATIONAL
NCT07282743,Efficacy and Safety of GL0034 in Overweight or Obese Adults With Type II Diabetes Mellitus,https://clinicaltrials.gov/study/NCT07282743,Recruiting,Type II Diabetes Mellitus,DRUG: GL0034 Dose Level 1|DRUG: GL0034 Dose Level 2|DRUG: GL0034 Dose Level 3|DRUG: GL0034 Dose Level 4|DRUG: GL0034 Dose Level 5|DRUG: GL0034 Dose Level 6|OTHER: Placebo,Sun Pharmaceutical Industries Limited,Not available,INTERVENTIONAL
NCT07282613,A Research Study to See How Much CagriSema Lowers Blood Sugar and Body Weight Compared to Placebo in Children and Adolescents With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT07282613,Not Yet Recruiting,"Diabetes Mellitus, Type 2",DRUG: CagriSema (Cagrilintide B and Semaglutide I)|DRUG: Placebo matched to CagriSema (Cagrilintide B and Semaglutide I),Novo Nordisk A/S,Not available,INTERVENTIONAL
NCT07282600,"A Study of Eloralintide (LY3841136) in Participants With Obesity or Overweight, and Type 2 Diabetes",https://clinicaltrials.gov/study/NCT07282600,Recruiting,Overweight|Obesity,DRUG: Eloralintide|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07280390,"Microplastics, Cirrhosis and Portal Hypertension",https://clinicaltrials.gov/study/NCT07280390,Not Yet Recruiting,Cirrhosis|Microplastics|Portal Hypertension Related to Cirrhosis|Nanoplastics|Pollution|Cirrhosis and Chronic Liver Disease,DIAGNOSTIC_TEST: Assessment of microplastics in tissue,"Post Graduate Institute of Medical Education and Research, Chandigarh",Vellore Institute of Technology University,OBSERVATIONAL
NCT07279480,Communication and Health Investments for Elderly Women,https://clinicaltrials.gov/study/NCT07279480,Recruiting,Take-up of Preventative Care|Communication About Health Information,BEHAVIORAL: Tell both|BEHAVIORAL: Free Transport,Abdul Latif Jameel Poverty Action Lab,Not available,INTERVENTIONAL
NCT07276399,A Study of Amivantamab in Addition to Standard of Care Agents (SOC) Compared With SOC Alone in Participants With Recurrent/Metastatic Head and Neck Cancer,https://clinicaltrials.gov/study/NCT07276399,Recruiting,Squamous Cell Carcinoma of Head and Neck,BIOLOGICAL: Amivantamab|BIOLOGICAL: Pembrolizumab|DRUG: Carboplatin|DRUG: 5-Flurouracil|DRUG: Cisplatin,"Janssen Research & Development, LLC",Not available,INTERVENTIONAL
